"Subject","Item","PrecritCode","Index","Bin","Event_code"
301,21,134,10,1,135
301,115,144,24,2,146
301,106,164,56,4,165
301,113,134,72,1,136
301,47,144,109,2,145
301,57,134,145,1,135
301,40,154,173,3,155
301,69,134,223,1,135
301,9,134,260,1,135
301,20,154,295,3,155
301,2,164,308,4,165
301,41,134,337,1,136
301,30,164,355,4,165
301,91,144,389,2,146
301,64,154,445,3,155
301,96,154,514,3,155
301,85,134,532,1,136
301,3,144,567,2,145
301,58,164,581,4,165
301,116,154,613,3,155
301,16,154,629,3,155
301,55,144,659,2,146
301,80,154,680,3,155
301,59,144,715,2,146
301,33,134,736,1,135
301,23,144,765,2,145
301,8,154,812,3,155
301,98,164,846,4,165
301,27,144,897,2,145
301,90,164,954,4,165
301,68,154,968,3,155
301,49,134,1002,1,135
301,22,164,1020,4,165
301,52,154,1049,3,155
301,75,144,1066,2,145
301,81,134,1083,1,136
301,111,144,1133,2,146
301,14,164,1152,4,165
301,84,154,1183,3,155
301,62,164,1200,4,165
301,92,154,1216,3,155
301,13,134,1248,1,135
301,29,134,1278,1,135
301,108,154,1325,3,155
301,72,154,1338,3,155
301,7,144,1418,2,145
301,112,154,1433,3,155
301,88,154,1465,3,155
301,12,154,1494,3,155
301,50,164,1510,4,165
301,120,154,1560,3,155
301,43,144,1577,2,146
301,10,164,1676,4,165
301,11,144,1739,2,145
301,15,144,1755,2,145
301,34,164,1790,4,165
301,86,164,1829,4,165
301,67,144,1860,2,146
301,39,144,1877,2,146
301,53,134,1907,1,135
301,100,154,1924,3,155
301,117,134,1957,1,136
301,25,134,1974,1,136
301,103,144,2006,2,146
301,78,164,2026,4,165
301,26,164,2060,4,165
301,77,134,2072,1,136
301,118,164,2108,4,165
301,5,134,2141,1,135
301,19,144,2172,2,145
301,38,164,2189,4,165
301,97,134,2223,1,136
301,66,164,2275,4,165
301,82,164,2292,4,165
301,74,164,2328,4,165
301,44,154,2392,3,155
301,104,154,2422,3,155
301,36,154,2488,3,155
301,17,134,2505,1,136
301,37,134,2554,1,135
301,18,164,2571,4,165
301,56,154,2697,3,155
301,109,134,2732,1,136
301,6,164,2824,4,165
301,60,154,2854,3,155
301,99,144,2890,2,146
301,102,164,2942,4,165
301,45,134,2974,1,136
301,31,144,2988,2,145
301,79,144,3017,2,146
301,71,144,3067,2,146
301,4,154,3101,3,155
301,54,164,3117,4,165
301,73,134,3147,1,136
301,114,164,3163,4,165
301,61,134,3197,1,136
301,32,154,3217,3,155
301,119,144,3248,2,145
301,101,134,3266,1,136
301,83,144,3300,2,146
301,42,164,3350,4,165
301,94,164,3384,4,165
301,1,134,3398,1,135
301,65,134,3448,1,136
301,110,164,3512,4,165
301,70,164,3543,4,165
301,24,154,3563,3,155
301,63,144,3594,2,146
301,46,164,3625,4,165
301,89,134,3656,1,136
301,51,144,3686,2,145
301,105,134,3706,1,136
301,48,154,3737,3,155
301,87,144,3753,2,145
301,35,144,3783,2,145
301,28,154,3813,3,155
301,93,134,3829,1,136
301,107,144,3861,2,146
301,95,144,3877,2,146
301,76,154,3909,3,155
302,77,154,6,3,155
302,117,154,25,3,155
302,71,164,58,4,165
302,29,154,107,3,155
302,39,164,123,4,165
302,52,144,172,2,146
302,62,134,189,1,135
302,89,154,221,3,155
302,48,144,237,2,146
302,95,164,269,4,165
302,1,154,287,3,155
302,34,134,350,1,135
302,88,144,372,2,146
302,20,144,406,2,145
302,82,134,451,1,136
302,11,164,471,4,165
302,74,134,503,1,135
302,109,154,521,3,155
302,79,164,552,4,165
302,119,164,588,4,165
302,2,134,606,1,136
302,90,134,669,1,136
302,60,144,683,2,146
302,46,134,716,1,136
302,36,144,775,2,145
302,22,134,827,1,135
302,41,154,871,3,155
302,116,144,906,2,146
302,84,144,991,2,145
302,100,144,1008,2,145
302,26,134,1038,1,135
302,43,164,1050,4,165
302,101,154,1078,3,155
302,32,144,1097,2,145
302,21,154,1127,3,155
302,19,164,1159,4,165
302,10,134,1176,1,135
302,45,154,1209,3,155
302,4,144,1223,2,145
302,16,144,1259,2,145
302,51,164,1290,4,165
302,115,164,1324,4,165
302,25,154,1373,3,155
302,92,144,1392,2,146
302,67,164,1423,4,165
302,104,144,1440,2,145
302,69,154,1476,3,155
302,113,154,1494,3,155
302,78,134,1549,1,136
302,47,164,1566,4,165
302,8,144,1686,2,145
302,44,144,1703,2,145
302,14,134,1762,1,135
302,24,144,1795,2,145
302,96,144,1812,2,145
302,64,144,1844,2,146
302,9,154,1911,3,155
302,98,134,1926,1,136
302,49,154,1961,3,155
302,66,134,2013,1,135
302,75,164,2030,4,165
302,102,134,2064,1,136
302,50,134,2080,1,135
302,86,134,2130,1,135
302,55,164,2145,4,165
302,40,144,2181,2,146
302,97,154,2199,3,155
302,118,134,2263,1,136
302,5,154,2295,3,155
302,37,154,2325,3,155
302,81,154,2356,3,155
302,63,164,2418,4,165
302,91,164,2453,4,165
302,114,134,2480,1,136
302,15,164,2497,4,165
302,73,154,2530,3,155
302,111,164,2561,4,165
302,13,154,2580,3,155
302,80,144,2612,2,146
302,59,164,2652,4,165
302,38,134,2672,1,136
302,103,164,2712,4,165
302,68,144,2730,2,146
302,112,144,2765,2,145
302,33,154,2800,3,155
302,99,164,2815,4,165
302,94,134,2845,1,135
302,106,134,2858,1,136
302,120,144,2889,2,146
302,107,164,2923,4,165
302,58,134,2938,1,135
302,28,144,2958,2,145
302,56,144,2974,2,146
302,83,164,3004,4,165
302,76,144,3021,2,146
302,93,154,3053,3,155
302,18,134,3070,1,135
302,3,164,3116,4,165
302,23,164,3130,4,165
302,42,134,3160,1,136
302,72,144,3176,2,145
302,6,134,3209,1,135
302,30,134,3225,1,135
302,110,134,3259,1,135
302,53,154,3275,3,155
302,35,164,3308,4,165
302,70,134,3352,1,136
302,31,164,3371,4,165
302,57,154,3403,3,155
302,65,154,3447,3,155
302,105,154,3480,3,155
302,7,164,3514,4,165
302,17,154,3577,3,155
302,108,144,3653,2,145
302,85,154,3700,3,155
302,87,164,3734,4,165
302,61,154,3750,3,155
302,12,144,3821,2,145
302,27,164,3854,4,165
302,54,134,3873,1,135
303,22,154,7,3,155
303,89,144,71,2,146
303,16,164,103,4,165
303,5,144,119,2,145
303,113,144,156,2,146
303,8,164,209,4,165
303,88,164,243,4,165
303,117,144,291,2,146
303,81,144,308,2,146
303,58,154,338,3,155
303,3,134,467,1,135
303,48,164,481,4,165
303,28,164,518,4,165
303,51,134,564,1,135
303,73,144,599,2,146
303,102,154,616,3,155
303,118,154,650,3,155
303,21,144,669,2,145
303,93,144,698,2,146
303,52,164,729,4,165
303,4,164,762,4,165
303,72,164,793,4,165
303,101,144,842,2,146
303,98,154,876,3,155
303,91,134,909,1,136
303,39,134,921,1,136
303,14,154,950,3,155
303,24,164,966,4,165
303,35,134,996,1,135
303,26,154,1030,3,155
303,7,134,1076,1,135
303,104,164,1107,4,165
303,18,154,1154,3,155
303,77,144,1185,2,146
303,87,134,1218,1,135
303,54,154,1252,3,155
303,20,164,1312,4,165
303,31,134,1342,1,135
303,46,154,1389,3,155
303,1,144,1418,2,145
303,49,144,1448,2,145
303,41,144,1481,2,146
303,90,154,1518,3,155
303,2,154,1546,3,155
303,62,154,1592,3,155
303,97,144,1622,2,146
303,45,144,1655,2,146
303,44,164,1669,4,165
303,9,144,1700,2,145
303,36,164,1714,4,165
303,56,164,1746,4,165
303,10,154,1809,3,155
303,38,154,1827,3,155
303,70,154,1861,3,155
303,64,164,1895,4,165
303,6,154,1914,3,155
303,25,144,1946,2,146
303,109,144,1983,2,146
303,61,144,2028,2,146
303,84,164,2077,4,165
303,15,134,2110,1,135
303,65,144,2128,2,146
303,116,164,2222,4,165
303,30,154,2238,3,155
303,106,154,2273,3,155
303,57,144,2291,2,145
303,66,154,2321,3,155
303,96,164,2355,4,165
303,40,164,2372,4,165
303,63,134,2407,1,136
303,107,134,2426,1,136
303,17,144,2457,2,146
303,112,164,2472,4,165
303,120,164,2504,4,165
303,33,144,2522,2,145
303,92,164,2575,4,165
303,114,154,2591,3,155
303,43,134,2626,1,136
303,13,144,2640,2,145
303,59,134,2673,1,136
303,94,154,2693,3,155
303,75,134,2722,1,135
303,67,134,2739,1,136
303,110,154,2806,3,155
303,105,144,2822,2,146
303,37,144,2854,2,145
303,80,164,2871,4,165
303,86,154,2909,3,155
303,27,134,2956,1,135
303,83,134,3004,1,136
303,12,164,3038,4,165
303,23,134,3054,1,135
303,79,134,3086,1,136
303,74,154,3105,3,155
303,108,164,3152,4,165
303,11,134,3180,1,135
303,19,134,3214,1,135
303,115,134,3266,1,136
303,82,154,3311,3,155
303,32,164,3346,4,165
303,85,144,3361,2,146
303,42,154,3397,3,155
303,78,154,3429,3,155
303,119,134,3447,1,135
303,55,134,3482,1,136
303,95,134,3503,1,136
303,100,164,3534,4,165
303,47,134,3549,1,135
303,99,134,3581,1,136
303,50,154,3615,3,155
303,29,144,3633,2,145
303,69,144,3664,2,145
303,53,144,3697,2,145
303,34,154,3714,3,155
303,76,164,3753,4,165
303,60,164,3784,4,165
303,103,134,3802,1,136
303,68,164,3834,4,165
303,71,134,3853,1,136
303,111,134,3903,1,136
304,35,154,6,3,155
304,42,144,21,2,146
304,81,164,51,4,165
304,2,144,85,2,146
304,43,154,100,3,155
304,75,154,129,3,155
304,80,134,162,1,136
304,28,134,197,1,135
304,14,144,213,2,145
304,57,164,244,4,165
304,17,164,293,4,165
304,88,134,354,1,136
304,41,164,400,4,165
304,61,164,448,4,165
304,93,164,482,4,165
304,53,164,516,4,165
304,52,134,549,1,136
304,33,164,582,4,165
304,29,164,615,4,165
304,62,144,686,2,145
304,26,144,717,2,145
304,90,144,767,2,146
304,110,144,781,2,145
304,79,154,813,3,155
304,108,134,832,1,135
304,112,134,875,1,135
304,78,144,923,2,146
304,77,164,958,4,165
304,56,134,991,1,136
304,66,144,1023,2,145
304,103,154,1040,3,155
304,5,164,1076,4,165
304,44,134,1105,1,135
304,32,134,1120,1,135
304,111,154,1152,3,155
304,6,144,1171,2,145
304,92,134,1203,1,136
304,74,144,1220,2,145
304,68,134,1254,1,136
304,106,144,1273,2,146
304,91,154,1306,3,155
304,97,164,1318,4,165
304,99,154,1351,3,155
304,39,154,1381,3,155
304,54,144,1416,2,145
304,64,134,1494,1,136
304,120,134,1544,1,136
304,86,144,1606,2,145
304,40,134,1635,1,136
304,10,144,1670,2,145
304,13,164,1703,4,165
304,63,154,1718,3,155
304,105,164,1751,4,165
304,102,144,1850,2,146
304,34,144,1896,2,145
304,27,154,1918,3,155
304,107,154,1952,3,155
304,114,144,1983,2,146
304,47,154,2017,3,155
304,95,154,2047,3,155
304,22,144,2080,2,145
304,45,164,2110,4,165
304,38,144,2156,2,146
304,46,144,2174,2,146
304,8,134,2205,1,135
304,85,164,2223,4,165
304,50,144,2258,2,145
304,3,154,2290,3,155
304,58,144,2304,2,145
304,55,154,2338,3,155
304,96,134,2374,1,135
304,82,144,2407,2,146
304,59,154,2427,3,155
304,119,154,2466,3,155
304,67,154,2504,3,155
304,23,154,2537,3,155
304,30,144,2601,2,145
304,70,144,2634,2,146
304,4,134,2684,1,135
304,89,164,2701,4,165
304,113,164,2731,4,165
304,36,134,2765,1,135
304,115,154,2798,3,155
304,73,164,2831,4,165
