"Subject","Item","PrecritCode","Index","Bin","Event_code"
101,21,134,6,1,135
101,115,144,13,2,146
101,106,164,28,4,165
101,113,134,35,1,136
101,47,144,50,2,145
101,57,134,64,1,135
101,69,134,94,1,135
101,40,154,101,3,155
101,9,134,115,1,135
101,20,154,129,3,155
101,2,164,136,4,165
101,41,134,150,1,136
101,30,164,157,4,165
101,91,144,171,2,146
101,64,154,201,3,155
101,96,154,231,3,155
101,85,134,238,1,136
101,3,144,251,2,145
101,58,164,258,4,165
101,116,154,273,3,155
101,16,154,280,3,155
101,55,144,295,2,146
101,80,154,302,3,155
101,59,144,317,2,146
101,75,144,324,2,145
101,23,144,339,2,145
101,8,154,361,3,155
101,98,164,375,4,165
101,27,144,396,2,145
101,90,164,417,4,165
101,68,154,424,3,155
101,49,134,439,1,135
101,22,164,446,4,165
101,52,154,461,3,155
101,81,134,468,1,136
101,33,134,482,1,135
101,111,144,496,2,146
101,14,164,503,4,165
101,84,154,517,3,155
101,92,154,524,3,155
101,13,134,538,1,135
101,29,134,545,1,135
101,108,154,574,3,155
101,72,154,581,3,155
101,7,144,619,2,145
101,112,154,626,3,155
101,88,154,640,3,155
101,12,154,670,3,155
101,50,164,677,4,165
101,120,154,699,3,155
101,43,144,706,2,146
101,62,164,720,4,165
101,10,164,742,4,165
101,11,144,772,2,145
101,15,144,779,2,145
101,34,164,794,4,165
101,86,164,809,4,165
101,67,144,824,2,146
101,39,144,831,2,146
101,53,134,845,1,135
101,100,154,852,3,155
101,117,134,874,1,136
101,25,134,881,1,136
101,103,144,895,2,146
101,78,164,902,4,165
101,26,164,916,4,165
101,77,134,923,1,136
101,118,164,938,4,165
101,19,144,952,2,145
101,38,164,959,4,165
101,97,134,974,1,136
101,5,134,997,1,135
101,66,164,1012,4,165
101,82,164,1019,4,165
101,74,164,1041,4,165
101,44,154,1078,3,155
101,104,154,1085,3,155
101,1,134,1107,1,135
101,65,134,1122,1,136
101,36,154,1136,3,155
101,17,134,1143,1,136
101,37,134,1157,1,135
101,18,164,1164,4,165
101,56,154,1238,3,155
101,109,134,1245,1,136
101,6,164,1282,4,165
101,60,154,1303,3,155
101,99,144,1318,2,146
101,102,164,1332,4,165
101,45,134,1346,1,136
101,31,144,1353,2,145
101,79,144,1367,2,146
101,71,144,1390,2,146
101,4,154,1405,3,155
101,54,164,1412,4,165
101,73,134,1426,1,136
101,114,164,1433,4,165
101,61,134,1447,1,136
101,32,154,1454,3,155
101,119,144,1469,2,145
101,95,144,1476,2,146
101,83,144,1497,2,146
101,42,164,1518,4,165
101,94,164,1532,4,165
101,110,164,1562,4,165
101,70,164,1577,4,165
101,24,154,1584,3,155
101,63,144,1599,2,146
101,46,164,1606,4,165
101,89,134,1620,1,136
101,51,144,1635,2,145
101,105,134,1642,1,136
101,48,154,1657,3,155
101,87,144,1664,2,145
101,35,144,1679,2,145
101,28,154,1694,3,155
101,93,134,1701,1,136
101,107,144,1716,2,146
101,101,134,1723,1,136
101,76,154,1738,3,155
102,77,154,4,3,155
102,117,154,10,3,155
102,71,164,23,4,165
102,29,154,42,3,155
102,39,164,48,4,165
102,52,144,66,2,146
102,62,134,72,1,135
102,89,154,85,3,155
102,48,144,91,2,146
102,95,164,104,4,165
102,1,154,110,3,155
102,34,134,135,1,135
102,88,144,141,2,146
102,20,144,154,2,145
102,82,134,172,1,136
102,11,164,178,4,165
102,74,134,191,1,135
102,109,154,197,3,155
102,79,164,209,4,165
102,119,164,221,4,165
102,2,134,227,1,136
102,90,134,253,1,136
102,60,144,259,2,146
102,46,134,272,1,136
102,36,144,298,2,145
102,22,134,317,1,135
102,41,154,336,3,155
102,116,144,348,2,146
102,84,144,380,2,145
102,100,144,386,2,145
102,26,134,398,1,135
102,43,164,404,4,165
102,101,154,417,3,155
102,32,144,423,2,145
102,21,154,436,3,155
102,19,164,448,4,165
102,10,134,454,1,135
102,45,154,467,3,155
102,4,144,473,2,145
102,16,144,485,2,145
102,51,164,498,4,165
102,115,164,510,4,165
102,25,154,528,3,155
102,92,144,534,2,146
102,67,164,546,4,165
102,104,144,552,2,145
102,69,154,564,3,155
102,113,154,570,3,155
102,78,134,588,1,136
102,47,164,594,4,165
102,8,144,644,2,145
102,44,144,650,2,145
102,14,134,676,1,135
102,24,144,688,2,145
102,96,144,694,2,145
102,64,144,706,2,146
102,9,154,731,3,155
102,98,134,737,1,136
102,49,154,750,3,155
102,66,134,768,1,135
102,75,164,774,4,165
102,102,134,786,1,136
102,50,134,792,1,135
102,86,134,811,1,135
102,55,164,817,4,165
102,40,144,830,2,146
102,97,154,836,3,155
102,118,134,861,1,136
102,5,154,874,3,155
102,37,154,887,3,155
102,81,154,900,3,155
102,63,164,926,4,165
102,91,164,939,4,165
102,114,134,952,1,136
102,15,164,958,4,165
102,73,154,971,3,155
102,111,164,984,4,165
102,13,154,990,3,155
102,80,144,1002,2,146
102,59,164,1015,4,165
102,38,134,1021,1,136
102,103,164,1033,4,165
102,68,144,1039,2,146
102,112,144,1052,2,145
102,33,154,1065,3,155
102,99,164,1071,4,165
102,94,134,1084,1,135
102,106,134,1090,1,136
102,120,144,1102,2,146
102,107,164,1114,4,165
102,58,134,1120,1,135
102,28,144,1133,2,145
102,56,144,1139,2,146
102,83,164,1152,4,165
102,76,144,1158,2,146
102,93,154,1171,3,155
102,18,134,1177,1,135
102,3,164,1196,4,165
102,23,164,1202,4,165
102,42,134,1215,1,136
102,72,144,1221,2,145
102,6,134,1233,1,135
102,30,134,1239,1,135
102,110,134,1251,1,135
102,53,154,1257,3,155
102,35,164,1269,4,165
102,70,134,1289,1,136
102,31,164,1295,4,165
102,57,154,1308,3,155
102,65,154,1327,3,155
102,105,154,1340,3,155
102,7,164,1352,4,165
102,17,154,1377,3,155
102,108,144,1409,2,145
102,85,154,1429,3,155
102,87,164,1442,4,165
102,61,154,1448,3,155
102,12,144,1473,2,145
102,27,164,1486,4,165
102,54,134,1492,1,135
103,22,154,4,3,155
103,89,144,37,2,146
103,16,164,49,4,165
103,5,144,55,2,145
103,113,144,67,2,146
103,8,164,87,4,165
103,88,164,100,4,165
103,117,144,118,2,146
103,81,144,124,2,146
103,58,154,136,3,155
103,3,134,194,1,135
103,48,164,200,4,165
103,28,164,212,4,165
103,51,134,231,1,135
103,73,144,244,2,146
103,102,154,250,3,155
103,118,154,263,3,155
103,21,144,269,2,145
103,93,144,282,2,146
103,52,164,288,4,165
103,4,164,300,4,165
103,72,164,306,4,165
103,101,144,325,2,146
103,98,154,338,3,155
103,91,134,351,1,136
103,39,134,357,1,136
103,14,154,370,3,155
103,24,164,376,4,165
103,35,134,389,1,135
103,18,154,395,3,155
103,26,154,407,3,155
103,7,134,432,1,135
103,104,164,444,4,165
103,20,164,450,4,165
103,49,144,462,2,145
103,77,144,474,2,146
103,62,154,486,3,155
103,87,134,492,1,135
103,54,154,511,3,155
103,31,134,544,1,135
103,46,154,564,3,155
103,1,144,577,2,145
103,41,144,597,2,146
103,90,154,609,3,155
103,2,154,615,3,155
103,97,144,641,2,146
103,45,144,654,2,146
103,44,164,660,4,165
103,9,144,679,2,145
103,36,164,692,4,165
103,56,164,705,4,165
103,10,154,724,3,155
103,38,154,736,3,155
103,70,154,742,3,155
103,64,164,754,4,165
103,6,154,760,3,155
103,25,144,772,2,146
103,109,144,778,2,146
103,61,144,797,2,146
103,84,164,816,4,165
103,15,134,829,1,135
103,65,144,835,2,146
103,116,164,872,4,165
103,30,154,878,3,155
103,106,154,891,3,155
103,57,144,897,2,145
103,66,154,910,3,155
103,96,164,922,4,165
103,40,164,928,4,165
103,63,134,941,1,136
103,107,134,947,1,136
103,17,144,960,2,146
103,112,164,966,4,165
103,120,164,978,4,165
103,33,144,984,2,145
103,92,164,996,4,165
103,114,154,1002,3,155
103,43,134,1015,1,136
103,13,144,1021,2,145
103,59,134,1034,1,136
103,94,154,1040,3,155
103,75,134,1052,1,135
103,67,134,1058,1,136
103,110,154,1090,3,155
103,105,144,1096,2,146
103,37,144,1109,2,145
103,80,164,1115,4,165
103,108,164,1127,4,165
103,86,154,1133,3,155
103,27,134,1158,1,135
103,83,134,1176,1,136
103,12,164,1189,4,165
103,23,134,1195,1,135
103,79,134,1208,1,136
103,74,154,1214,3,155
103,11,134,1240,1,135
103,19,134,1246,1,135
103,115,134,1264,1,136
103,82,154,1282,3,155
103,32,164,1294,4,165
103,85,144,1300,2,146
103,42,154,1312,3,155
103,78,154,1332,3,155
103,119,134,1338,1,135
103,55,134,1350,1,136
103,95,134,1356,1,136
103,100,164,1369,4,165
103,47,134,1375,1,135
103,99,134,1387,1,136
103,50,154,1393,3,155
103,29,144,1405,2,145
103,69,144,1417,2,145
103,53,144,1423,2,145
103,111,134,1436,1,136
103,34,154,1442,3,155
103,76,164,1460,4,165
103,60,164,1473,4,165
103,103,134,1479,1,136
103,68,164,1492,4,165
103,71,134,1498,1,136
105,21,134,4,1,135
105,16,154,17,3,155
105,75,144,29,2,145
105,63,144,35,2,146
105,87,144,48,2,145
105,12,154,54,3,155
105,85,134,66,1,136
105,14,164,72,4,165
105,5,134,84,1,135
105,116,154,90,3,155
105,10,164,102,4,165
105,33,134,108,1,135
105,86,164,120,4,165
105,99,144,126,2,146
105,115,144,139,2,146
105,66,164,145,4,165
105,8,154,158,3,155
105,34,164,189,4,165
105,69,134,195,1,135
105,61,134,208,1,136
105,73,134,220,1,136
105,30,164,233,4,165
105,59,144,253,2,146
105,11,144,272,2,145
105,3,144,285,2,145
105,56,154,291,3,155
105,81,134,304,1,136
105,102,164,310,4,165
105,108,154,329,3,155
105,54,164,335,4,165
105,17,134,361,1,136
105,9,134,367,1,135
105,41,134,387,1,136
105,65,134,393,1,136
105,49,134,406,1,135
105,55,144,412,2,146
105,70,164,424,4,165
105,29,134,430,1,135
105,20,154,443,3,155
105,6,164,449,4,165
105,27,144,462,2,145
105,96,154,468,3,155
105,2,164,481,4,165
105,82,164,494,4,165
105,64,154,506,3,155
105,110,164,518,4,165
105,36,154,531,3,155
105,78,164,537,4,165
105,90,164,550,4,165
105,7,144,562,2,145
105,118,164,568,4,165
105,19,144,581,2,145
105,97,134,587,1,136
105,51,144,599,2,145
105,45,134,612,1,136
105,103,144,625,2,146
105,79,144,638,2,146
105,89,134,644,1,136
105,37,134,657,1,135
105,91,144,669,2,146
105,94,164,682,4,165
105,24,154,694,3,155
105,109,134,706,1,136
105,71,144,731,2,146
105,74,164,757,4,165
105,77,134,763,1,136
105,58,164,775,4,165
105,42,164,794,4,165
105,106,164,800,4,165
105,68,154,812,3,155
105,62,164,824,4,165
105,40,154,869,3,155
105,18,164,875,4,165
105,114,164,887,4,165
105,50,164,893,4,165
105,88,154,913,3,155
105,47,144,945,2,145
105,98,164,963,4,165
105,112,154,1008,3,155
105,92,154,1028,3,155
105,52,154,1040,3,155
105,28,154,1065,3,155
105,84,154,1077,3,155
105,83,144,1089,2,146
105,100,154,1095,3,155
105,25,134,1108,1,136
105,72,154,1120,3,155
105,31,144,1126,2,145
105,113,134,1138,1,136
105,80,154,1144,3,155
105,13,134,1163,1,135
105,22,164,1189,4,165
105,53,134,1195,1,135
105,23,144,1220,2,145
105,43,144,1232,2,146
105,44,154,1238,3,155
105,15,144,1251,2,145
105,117,134,1257,1,136
105,57,134,1270,1,135
105,46,164,1276,4,165
105,104,154,1289,3,155
105,67,144,1295,2,146
105,32,154,1308,3,155
105,4,154,1314,3,155
105,76,154,1327,3,155
105,1,134,1333,1,135
105,111,144,1345,2,146
105,48,154,1351,3,155
105,107,144,1363,2,146
105,105,134,1369,1,136
105,60,154,1394,3,155
105,35,144,1400,2,145
105,95,144,1418,2,146
105,93,134,1437,1,136
105,39,144,1456,2,146
105,119,144,1462,2,145
